,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
341,341,IND,2012,DS,11.471,77.3147,1,1,28,NA,111,2,0,45,45,57.5,147.5,1,2,0,2,4,0,4.94
342,342,IND,2012,DS,10.5495,76.9585,1,1,30,NA,113,2,0,130,75,75,280,1,1,0,1,4,10,4.4
343,343,IND,2012,DS,10.5386,76.9488,1,1,28,NA,114,2,0,41,46,0,87,1,2,0,2,4,10,4.93
344,344,IND,2012,DS,10.5699,76.9393,1,1,30,NA,110,2,0,15,23,0,38,1,1,0,0,4,0,4.73
345,345,IND,2012,DS,10.539,76.9405,1,1,30,NA,110,2,0,32,23,0,55,1,2,0,2,4,0,4.9
346,346,IND,2012,DS,10.5164,76.949,1,1,28,NA,104,2,0,77.5,25,60,162.5,1,1,0,2,4,0,4.97
347,347,IND,2012,DS,10.5252,76.9418,1,1,30,NA,99,2,0,155,50,60,265,1,2,0,1,4,0,4.6
348,348,IND,2012,DS,10.509,76.8885,1,1,28,NA,105,2,0,155,50,60,265,1,3,0,1,4,0,4.6
349,349,IND,2012,DS,10.5228,76.9396,1,1,28,NA,108,2,0,155,50,0,205,1,2,0,2,3,10,3.57
350,350,IND,2012,DS,10.5132,76.9534,1,1,30,NA,100,2,0,155,50,0,205,1,3,0,0,4,0,4.97
351,351,IND,2012,DS,10.506,76.9537,1,1,28,NA,105,2,0,155,50,0,205,1,2,0,2,4,0,4.17
352,352,IND,2012,DS,10.5745,76.9472,1,1,28,NA,110,2,0,155,50,0,205,1,3,0,1,3,0,4.07
353,353,IND,2012,DS,10.5159,76.9596,1,1,25,NA,107,2,0,155,50,60,265,1,3,0,0,4,0,4.53
354,354,IND,2012,DS,10.5747,76.947,1,1,28,NA,110,2,0,155,50,0,205,1,2,0,1,4,0,4.47
355,355,IND,2012,DS,10.5472,76.9451,1,1,28,NA,117,2,0,212.5,50,60,322.5,1,3,0,0,4,0,4.37
356,356,IND,2012,DS,10.57,76.9397,1,1,30,NA,100,2,0,240.5,85,60,385.5,1,2,0,1,4,0,4.73
357,357,IND,2012,DS,10.5697,76.9385,1,1,28,NA,101,2,0,152,75,96,323,1,3,0,0,4,10,4.1
358,358,IND,2012,DS,10.5252,76.9465,1,1,28,NA,107,2,0,155,50,60,265,1,3,0,3,4,10,4.15
359,359,IND,2012,DS,10.5731,76.9452,1,1,28,NA,105,2,0,155,50,60,265,1,4,0,2,4,10,4.33
